,g_number_of_nodes,g_number_of_arcs,g_min_cost,g_max_cost,g_sum_cost,g_mean_cost,g_std_cost,g_min_cap,g_max_cap,g_sum_cap,g_mean_cap,g_std_cap,g_supply,g_number_of_supply_nodes,g_arcs_source_sink,mst_sum_cost,mst_mean_cost,mst_std_cost,mst_sum_cap,mst_mean_cap,mst_std_cap,Network Simplex,CS2,SSP,CAS,CC Simple,CC Minimum Mean Cycle,CC Cancel and Tighten,Minimum
31117553,5002,10050,1,100,510007,0.5074696517412935,0.2889056643782343,1,10000,50266648,0.5001656517412936,0.2873301420208633,707.0,1,51,136885,0.30412806327623365,0.19021823873907465,25079419,0.5014880823835233,0.2866634025903291,7738,8326,2215,2784,289993,1620091,122196,SSP
31124058,52,105,4,99,5325,0.5122655122655123,0.28011380076426845,537,9980,530498,0.5062486878518943,0.2832404837216878,707.0,1,6,1403,0.4232277526395174,0.2319101519755991,245176,0.4817006562143895,0.30241269764073364,14,53,10,11,123,201,157,SSP
31124137,5002,9950,1,2,14924,0.7499497487437186,0.2499999949496224,1,1000,4987593,0.5012656281407035,0.2879236039351365,707.0,1,101,5508,0.5506898620275945,0.1509154362595844,2532489,0.5063965206958608,0.2874852994161892,6416,12531,16876,12741,3297149,6119682,318301,Network Simplex
31128478,1002,2090,1,10,11361,0.5435885167464114,0.28642248558887623,13,9999,10594496,0.5069643806485912,0.2918486855210406,3162.0,1,11,3063,0.33999333999334,0.18880769759376256,5069128,0.5064570393103246,0.28913319325029824,213,1120,166,332,14572,73911,4780,SSP
31130619,202,410,1,10,2218,0.5409756097560976,0.28280653456114097,4,9996,2133558,0.5205882352941177,0.29956932677528825,1414.0,1,11,633,0.3936567164179105,0.21443594079268974,1066268,0.5306938695876361,0.2902442720074111,51,227,45,63,1709,5248,1654,SSP
31132099,52,105,1,10,601,0.5723809523809524,0.27894195951854456,339,9933,561814,0.5386700416600749,0.26715255431847296,707.0,1,6,186,0.4558823529411765,0.24357369115303615,260463,0.5260730992025983,0.26914037565208104,17,46,9,13,112,224,171,SSP
31134862,1002,2030,1,1000,1022734,0.5038098522167488,0.29215235970678755,1,100,103891,0.5117783251231527,0.29220250775797924,316.0,1,21,265142,0.30907482249372564,0.2010850704603042,50702,0.5065134865134865,0.28490482850703924,1496,4848,9149,6402,148150,356947,27730,Network Simplex
31136776,402,800,2,998,400388,0.5014879759519039,0.2906459567297725,14,9984,4064481,0.5088743239182693,0.296460141033053,200.0,1,21,106777,0.3400725516986588,0.2191206864048052,2027116,0.5071889354570831,0.2994336576947873,137,1081,142,128,3342,12859,3909,CAS
31137550,502,1040,1,100,50824,0.4886923076923077,0.2897791293157294,1,1000,526044,0.5058115384615385,0.2881270704272991,2236.0,1,11,12486,0.3236643595925033,0.21508601182751416,257521,0.5140139720558882,0.2950408439609351,173,1179,974,1456,36285,101679,9116,Network Simplex
31139153,502,1095,1,2,1635,0.7465753424657534,0.2499765423410227,1,1000,544893,0.4976191780821918,0.29388087885468506,2236.0,1,6,554,0.5528942115768463,0.15378331564278022,248676,0.4963592814371257,0.29075793077758433,75,408,279,704,8501,49070,1873,Network Simplex
31140812,52,95,1,10,493,0.5189473684210526,0.27655578549919146,31,9876,447613,0.4770874634947027,0.2797956307107309,70.0,1,11,165,0.4621848739495799,0.2523807969358186,228915,0.4544885998141663,0.2746383226274901,14,58,9,12,193,238,272,SSP
31143098,5002,9950,1,2,14920,0.749748743718593,0.2499998737405301,1,10000,49729072,0.4997896683417085,0.2880415130323063,707.0,1,101,5492,0.5490901819636073,0.14877918206719504,24758974,0.495129976904909,0.2892442409417418,6590,8055,2906,3468,3472892,6714154,300066,SSP
31143272,102,215,1,2,307,0.7139534883720929,0.24738764924599446,1,996,108669,0.5074670776127767,0.29515221723007584,100.0,1,6,110,0.5445544554455446,0.14245044128651646,48905,0.4961146729427041,0.29427396510290804,32,81,44,72,470,1214,644,Network Simplex
31144851,252,545,1,100,28885,0.53,0.2837889123785333,13,9978,2763574,0.5081958289889131,0.2924677529269683,1581.0,1,6,7268,0.37123301665134334,0.23765908876202896,1265180,0.5087361494675315,0.2956884963621068,47,232,55,83,1976,10447,1141,Network Simplex
31147309,1002,1910,1,10,10680,0.5591623036649215,0.2879378384103249,13,9997,9569965,0.5011956466521108,0.28793400507960715,316.0,1,101,3413,0.3788433788433789,0.2027811931180588,4996906,0.499741123827619,0.2889603752876549,847,1346,300,227,67973,84996,29066,CAS
31148721,402,800,1,100,42212,0.52765,0.28157588231238845,4,9987,4049935,0.5069008460999299,0.285778139980799,200.0,1,21,12299,0.3740344261297974,0.2256494511741688,2007238,0.5023666245866666,0.2848322817362984,333,620,361,287,10307,20021,4896,CAS
31150208,252,545,1,2,819,0.7513761467889908,0.24999621241133865,1,100,27806,0.5102018348623854,0.28923079828319176,1581.0,1,6,275,0.547808764940239,0.14703300467925048,12899,0.5139043824701195,0.2883582716852767,88,812,925,663,7205,19523,3007,Network Simplex
31152414,2502,5000,2,10000,25073372,0.50146744,0.28842983219467155,3,9999,24799071,0.4960310231023102,0.28865513073643057,500.0,1,51,6748287,0.32026534193444284,0.2061344763974961,12477705,0.4991582156532085,0.2895842545169348,1990,4938,1240,1028,403237,1051786,70592,CAS
31153639,102,200,4,989,103917,0.5253640040444895,0.2901021601034157,1,100,9729,0.4864500000000001,0.28463994361297923,100.0,1,11,29127,0.38349220560353897,0.2433965636029773,4755,0.4755475547554756,0.2808234170607857,41,324,105,89,1540,2877,956,Network Simplex
31157442,502,1095,1,100,55068,0.5029041095890411,0.28797254583043336,3,1000,551635,0.5037762557077625,0.2884247694900469,22360.0,1,6,12764,0.28625894278858016,0.1868647069217788,252354,0.5052162475450304,0.293910409974013,215,1679,3789,3840,42071,130955,6698,Network Simplex
31157867,402,800,3,9999,3893990,0.4867974297429743,0.2852904633250538,1,999,402974,0.5042217217217217,0.28443960002078456,200.0,1,21,1073579,0.2840889605358421,0.1845618947758804,205386,0.5126972358892558,0.2903814168492692,212,757,218,399,13745,37679,5413,Network Simplex
31160625,502,1095,8,10000,5528334,0.5048706849315068,0.28863688348942823,3,9993,5387840,0.4923848520448332,0.2829377581264977,2236.0,1,6,1292930,0.281121852156254,0.1882978344750981,2429449,0.4877979680915807,0.28303423116946885,67,781,95,178,4720,21010,2064,Network Simplex
31167688,52,95,2,100,4896,0.5153684210526316,0.28140553440229943,14,988,45104,0.4805454932878756,0.2862826136154952,707.0,1,11,1622,0.37416378316032295,0.22349929509788397,23843,0.4775381041078331,0.2805892388522881,22,159,47,53,406,750,396,Network Simplex
31171769,202,390,42,9985,1838793,0.4721936751280768,0.2879810970212479,20,9973,1911024,0.4913327522773026,0.2967183857191801,141.0,1,21,491946,0.3208143318014724,0.20354503014628197,990418,0.4940792877086542,0.2788350662783448,192,355,50,89,1730,3351,2282,SSP
31173499,1002,1970,1,2,2958,0.7507614213197971,0.2499988404724585,1,1000,995496,0.5053279187817259,0.29090321812759024,316.0,1,51,1117,0.557942057942058,0.160042953273389,511509,0.510998001998002,0.2947024100436209,646,1856,597,1661,51267,102967,17734,SSP
31173973,202,390,1,10,2127,0.5453846153846154,0.2998576256504902,20,9982,1906621,0.4897587452285909,0.2765780008478079,141.0,1,21,622,0.3868159203980099,0.21939607507084347,964323,0.4823189771460382,0.2695351849915785,75,217,25,30,772,1400,1165,SSP
31183831,2002,3920,1,100,196940,0.5023979591836735,0.28914672992168955,3,9997,19576906,0.4995607355676091,0.29148892286697536,4472.0,1,101,54822,0.30783484662163296,0.19357863534278835,9972241,0.4985124222924049,0.2879233698877212,3856,21262,14609,10474,676897,3509569,332783,Network Simplex
31189123,2502,5000,1,10,27720,0.5544,0.2834936330854716,4,10000,25446918,0.50893836,0.287055966453426,5000.0,1,51,8212,0.36483184503976185,0.19200079716920515,12817079,0.5125294216746745,0.2899964062994393,1816,6471,4997,5441,694605,1714080,99514,Network Simplex
31189346,1002,1910,1,100,95609,0.5005706806282723,0.28696651204567825,8,9998,9435104,0.4940833192816574,0.2933448279431123,3162.0,1,101,28042,0.3044998479781089,0.1905068051634652,4846722,0.4843333119816065,0.29001760870581456,777,8848,2684,2296,180333,228531,39398,Network Simplex
31190082,252,545,6,1000,268123,0.4919688073394495,0.2858717055858115,28,9976,2830287,0.5205680789858964,0.2914560142490836,158.0,1,6,62363,0.3222544323355088,0.20324733885233226,1311498,0.5237662022319702,0.2941632228431031,45,297,32,58,1669,6354,1288,SSP
31190805,202,390,2,997,203865,0.524303680271584,0.2756766238491713,1,1000,195220,0.5005641025641026,0.2940878200314683,141.0,1,21,62627,0.34969373111993346,0.20639824529051606,105992,0.5273233830845772,0.3068098409568339,114,552,110,154,6248,12253,3623,SSP
31191996,1002,2030,1,2,3045,0.75,0.25,1,1000,1032495,0.5086182266009852,0.29205362818625713,316.0,1,21,1106,0.5524475524475524,0.15320910699445206,502104,0.5016023976023977,0.2936326201882331,1042,1026,974,2519,97143,235648,26399,SSP
31194294,1002,1970,1,100,99684,0.5060101522842639,0.2864004152693817,2,9996,9849404,0.5001698141185408,0.29371699055525397,316.0,1,51,28043,0.31835210244301154,0.19786163264822024,5105423,0.5102363622771786,0.2968981539954874,694,2016,251,460,30722,62409,16952,SSP
31196633,502,1095,1,10,5959,0.5442009132420091,0.284421508218112,1,100,54688,0.4994337899543379,0.29270935441863666,2236.0,1,6,1521,0.3794910179640719,0.2111353455744915,25066,0.500319361277445,0.2961224759501809,179,1846,2350,2952,30685,139758,5229,Network Simplex
31201432,2002,4080,2,1000,2053175,0.5032291666666667,0.2873252873781781,3,10000,20304480,0.4976588235294118,0.2892989372749576,44721.0,1,21,535380,0.30647906287406124,0.19490349907647608,9983372,0.4990189442186289,0.29052569501449443,3168,8207,39627,39065,2122415,7379687,189654,Network Simplex
31202171,202,410,1,2,615,0.75,0.25,2,1000,214172,0.5223707317073171,0.29361793512368056,1414.0,1,11,226,0.5621890547263682,0.16500620847539302,106312,0.5289154228855721,0.300588904259829,92,449,239,573,4081,16548,2923,Network Simplex
31202861,1002,2030,1,10,11280,0.5556650246305419,0.28372075029187005,8,9988,10337085,0.509827803216076,0.28209868351690365,316.0,1,21,3251,0.3608613608613609,0.1886820360442028,5152295,0.5153331850368295,0.28389524806589383,357,1160,192,172,53132,160601,12899,CAS
31204460,52,95,6,998,53076,0.5598143655732518,0.3135316923283725,4,98,4903,0.5266380236305048,0.26675344598418155,70.0,1,11,17259,0.401437443304724,0.27223406742277306,2613,0.5228091236494598,0.2644705362426712,20,138,43,47,567,764,377,Network Simplex
31215323,27,50,1,10,289,0.5780000000000001,0.2647942597565136,13,998,30291,0.6070340681362726,0.28998693231587563,50.0,1,6,100,0.5494505494505495,0.2678254419110756,15647,0.6030137197471866,0.31174961999772205,25,67,16,16,153,241,229,SSP
31218030,1002,2090,1,10,11541,0.5522009569377989,0.28501227674228546,6,9999,10648396,0.5095435859375411,0.29070694425099874,316.0,1,11,3159,0.35064935064935066,0.18688015081422268,5105474,0.5100883714745101,0.2918987519082949,562,2103,231,424,93025,324011,20822,SSP
31228856,27,50,1,10,286,0.5720000000000001,0.2993593158730825,331,9637,236772,0.4913811352080522,0.2903018535685292,500.0,1,6,89,0.489010989010989,0.2995891402245184,115979,0.4628754559749683,0.30604058405387224,10,32,15,15,103,161,137,Network Simplex
31228914,1002,2090,5,10000,10812003,0.5173207177033492,0.2927902630555783,1,100,104293,0.4990095693779905,0.2849981531112931,316.0,1,11,2716554,0.3049258606561977,0.19493543531399826,50359,0.5030869130869131,0.28194444270067043,298,2568,2788,3041,84477,286929,15603,Network Simplex
31232665,502,1040,1,2,1546,0.7432692307692308,0.24990937706609195,1,100,53351,0.5129903846153846,0.28798771325260986,223.0,1,11,545,0.5439121756487026,0.14151964052437666,26218,0.523313373253493,0.2889298162588134,240,1160,1209,1357,27251,63517,7540,Network Simplex
31246084,5002,9950,1,1000,5039754,0.5065079396984925,0.289108883675992,1,10000,50096782,0.5034852462311559,0.2899771628703653,707.0,1,101,1378119,0.3211756250148572,0.20565473285741007,25257128,0.5050415516896621,0.28863681074909325,21778,18200,12356,14331,6517531,19786345,949331,SSP
31247631,1002,2090,1,2,3111,0.7442583732057416,0.2499340587470132,5,9995,10519369,0.5035708763472646,0.2869364169518757,316.0,1,11,1089,0.5439560439560439,0.1415835024914849,5090712,0.5088170458855802,0.28338506508438643,223,669,79,145,8507,45993,3832,SSP
31248281,1002,2030,1,10,11226,0.5530049261083744,0.2912658545131752,1,9998,10055764,0.4954569238970946,0.2889013040700445,316.0,1,21,3154,0.3938561438561439,0.2136476537777809,4954636,0.495662558951163,0.2907204664038483,964,1222,189,240,74613,239060,28950,SSP
31252415,1002,2030,1,10,11228,0.5531034482758621,0.286214849435473,1,100,103364,0.5091822660098522,0.2831534619870633,316.0,1,21,3242,0.32387612387612386,0.17449616536655754,50560,0.5050949050949051,0.2819062695989162,956,4327,4788,4598,178831,408022,29994,Network Simplex
31257463,2002,4080,1,2,6136,0.7519607843137255,0.2499923105314942,1,1000,2056986,0.5041632352941177,0.2889702692172564,447.0,1,21,2194,0.5482258870564718,0.14760490285167466,1010543,0.5055245150197674,0.28895742972230315,934,3942,1033,1791,202039,507544,25972,Network Simplex
31260472,2502,5000,1,2,7505,0.7505,0.2499994999995,1,9997,24687160,0.4938913674102231,0.2899360621588513,50000.0,1,51,2745,0.5487804878048781,0.1483600617145907,12161031,0.4864899862966269,0.29050980273412397,3499,18319,46652,22950,1400565,4241376,110341,Network Simplex
31270816,402,800,1,10,4422,0.55275,0.2894260484130618,1,9939,3851346,0.4843729248415333,0.2972901917858912,20000.0,1,21,1297,0.4043017456359102,0.2250627758853562,1916283,0.4808089947181548,0.3012949360668624,217,1381,1379,1116,31330,85511,7780,Network Simplex
31271328,5002,10050,1,10000,50105946,0.4985666268656716,0.28848928287028275,1,10000,50306650,0.5005636815920398,0.28738724202716137,70710.0,1,51,13359620,0.2987129287773217,0.19293978199081985,24811075,0.4961718927341644,0.2870579405130677,7061,35644,166168,88555,6261665,21753310,540975,Network Simplex
31271977,502,1040,10,10000,5226516,0.5025496153846154,0.29071823429198945,19,10000,5268154,0.5065532692307693,0.28836802335411305,223.0,1,11,1314836,0.3121340572897972,0.204956684342887,2604265,0.5198133732534931,0.2860497877619229,104,821,63,103,410,969,1781,SSP
31273111,102,215,1,995,105577,0.4935234311090336,0.28194118932034423,6,998,103595,0.48280281493219,0.28952666508080066,1000.0,1,6,26670,0.3888945595590487,0.2340940861343453,49342,0.4895136808270005,0.2961906021140941,35,191,138,295,3344,9388,1776,Network Simplex
31284210,52,95,89,9709,420835,0.456261417783825,0.2764828809243428,18,9961,490186,0.5180054845476305,0.3085350384713598,70.0,1,11,123366,0.4226701339281126,0.24574805691026375,272337,0.5360848485564289,0.2917420945104174,17,85,9,12,150,122,98,SSP
31290887,502,1040,9,9997,5230567,0.5030900616338747,0.297161715629095,1,100,51987,0.499875,0.2974236872873702,223.0,1,11,1288971,0.2903178071750879,0.18756171193115784,24915,0.4973053892215569,0.2954162876094146,439,3349,1754,2353,49161,123017,17539,Network Simplex
31293300,52,105,1,100,4579,0.4360952380952381,0.2984674991897147,30,9961,550547,0.5263833713386972,0.2794096110886092,707.0,1,6,964,0.3500363108206245,0.2634849857014711,283493,0.5580450029625343,0.268189548624872,16,68,9,14,174,364,217,SSP
31293625,5002,10050,1,1000,5023576,0.4998583084577114,0.2872047107790123,1,10000,50594263,0.5034255024875621,0.2896818765394105,70710.0,1,51,1341455,0.29156233970597184,0.185937843278959,25290925,0.5057679333220265,0.2877960534811449,17139,39107,422157,230317,16563637,52836060,1363315,Network Simplex
31295446,1002,1910,1,100,97095,0.5083507853403141,0.2871381674584992,3,9984,9598799,0.5033602979426769,0.2911104844309225,316.0,1,101,29237,0.3245310245310245,0.20327020790729156,5019123,0.5023653833392336,0.2888491460680748,982,2382,475,384,38716,37854,23418,CAS
31297648,502,1040,11,9991,5288394,0.508957484813255,0.2878431091537787,3,9996,5207299,0.5009021877981962,0.2901464164380349,2236.0,1,11,1364699,0.28529012356518635,0.18641293497982966,2464533,0.49315564360001796,0.2841396302841009,118,634,69,163,9027,39572,3942,SSP
31313571,502,1095,9,9984,5564996,0.5090332660110057,0.29100691694690695,12,10000,5544461,0.5063434703196347,0.28598677673363804,2236.0,1,6,1305829,0.3233401699268625,0.21840978941611755,2548501,0.5095490677465063,0.2849213859378172,71,953,80,195,4578,33255,2823,Network Simplex
31318099,402,800,1,2,1174,0.73375,0.24947131598642766,8,9999,4040679,0.5051353885388539,0.28634197502138753,2000.0,1,21,429,0.5349127182044888,0.12742629716749346,2065162,0.5163454907947697,0.2810042056083291,185,449,144,302,14480,35253,4330,SSP
31318228,502,1095,1,100,54427,0.4970502283105023,0.2858581125153097,1,10,6067,0.5540639269406393,0.28805665273128594,223.0,1,6,12620,0.32294385587798763,0.20816293253529267,2828,0.5644710578842316,0.28560816796698885,170,1393,2871,1300,18887,53493,5711,Network Simplex
31318298,102,215,1,10,1210,0.5627906976744186,0.30363936366894306,44,9957,1110203,0.5186034833505002,0.2864580004511352,10000.0,1,6,306,0.33663366336633666,0.19431817087630024,524359,0.5231959354355268,0.2930184428672544,26,175,53,147,1098,3032,684,Network Simplex
31320097,102,185,1,100,9168,0.4955675675675675,0.2869915283183734,53,9963,948698,0.5147141721667468,0.29847513030121225,100.0,1,21,3002,0.3762376237623761,0.2410770124690004,514386,0.5111844517785112,0.3002464904878465,75,96,13,16,478,608,481,SSP
31321336,202,410,1,10,2273,0.5543902439024391,0.2783097833612298,1,1000,206965,0.5047926829268293,0.2997292167291913,141.0,1,11,671,0.4172885572139303,0.22287467490684934,104992,0.5223482587064676,0.30404012256412594,63,311,57,169,2212,6730,1524,SSP
